Program,site_id,Site Name,Site ID OPSEL,Opsel,Penyedia MSS,Paket Penyedia MSS,Provinsi,Kabupaten,Kecamatan,Desa,latitude,longitude,radius_km,Transmisi,BW,K2-K3 Kategori,Availability,Accessibility,Retainability,Traffic Total,User,Problem Availability,Sub Problem Category
BTS USO,UYO187,NAKAI,1917B911800018,TELKOMSEL,PT. Aprillia Profesional Teknologi,,PAPUA SELATAN,ASMAT,PULAU TIGA,NAKAI,-5.0458,137.8406,3,,8,,,,,,,,
BTS USO,UXX072,ALGADANG,1919B810700169,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,KEPULAUAN ARU,ARU TENGAH,ALGADANG,-6.198638,134.4804,3,,8,,,,,,,,
BTS USO,UYP067,KWOOR,1905B920900884,TELKOMSEL,PT. Bintang Komunikasi Utama,,PAPUA BARAT DAYA,TAMBRAUW,KWOOR,KWOOR,-0.38513,132.3285,3,,8,,,,,,,,
BTS USO,NTB0021,RANAN,1901B520400105,XL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA BARAT,SUMBAWA,ROPANG,RANAN,-8.88778,117.4969,3,,8,,,,,,,,
BTS USO,08PSB016,SITUAK BARAT,1903B131200089,INDOSAT,PT. Bintang Komunikasi Utama,,SUMATERA BARAT,PASAMAN BARAT,LEMBAH MELINTANG,SITUAK BARAT,0.42543,99.57482,3,,40,,,,,,,,
BTS USO,32SML009,WATMASA,1904B810300120,INDOSAT,PT. Dayamitra Telekomunikasi,,MALUKU,KEPULAUAN TANIMBAR,WUAR LABOBAR,WATMASA,-7.13761,131.574,3,,8,,,,,,,,
BTS USO,22KAI005,MAUSAMANG,1919B530500741,INDOSAT,PT. Bintang Komunikasi Utama,,NUSA TENGGARA TIMUR,ALOR,ALOR TIMUR,MAUSAMANG,-8.17559,125.1008,3,,8,,,,,,,,
BTS USO,16KTP029,KUALAN HULU,1919B610400621,INDOSAT,PT. Pola Penawar Bangun Semesta,,KALIMANTAN BARAT,KETAPANG,SIMPANG HULU,KUALAN HULU,-0.48796,110.5605,3,,8,,,,,,,,
BTS USO,08PSB015,TANJUNG LARANGAN,1903B131200087,INDOSAT,PT. Bintang Komunikasi Utama,,SUMATERA BARAT,PASAMAN BARAT,RANAH BANTAHAN,TANJUNG LARANGAN,0.44511,99.4655,3,,8,,,,,,,,
BTS USO,UXX051,WAERAMAN,1901B810400242,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,BURU,BATABUAL,WAERAMAN,-3.38786,126.5471,3,,8,,,,,,,,
